# Source: 2015 year from 2019 IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
mng,DOMESAIR,Total,6
mng,ROAD,Total,499
mng,RAIL,Total,165
moz,MARBUNK,Total,0
moz,AVBUNK,Total,36
moz,ROAD,Total,778
moz,DOMESNAV,Total,58
mrt,MARBUNK,Total,5.9
mrt,AVBUNK,Total,13.24
mrt,DOMESAIR,Total,1.75
mrt,ROAD,Total,92.68
mrt,RAIL,Total,0.99
mrt,DOMESNAV,Total,0.1
msr,MARBUNK,Total,0.37
msr,AVBUNK,Total,0.58
msr,DOMESAIR,Total,0.05
msr,ROAD,Total,1.67
msr,DOMESNAV,Total,0.01
mus,MARBUNK,Total,280
mus,AVBUNK,Total,274
mus,DOMESAIR,Total,5
mus,ROAD,Total,330
mus,DOMESNAV,Total,7
mwi,MARBUNK,Total,24.41
mwi,AVBUNK,Total,54.78
mwi,DOMESAIR,Total,7.25
mwi,ROAD,Total,383.54
mwi,RAIL,Total,4.11
mwi,DOMESNAV,Total,0.4
mys,MARBUNK,Total,347
mys,AVBUNK,Total,2507
mys,DOMESAIR,Total,626
mys,ROAD,Total,20274
mys,RAIL,Total,23
mys,DOMESNAV,Total,173
nam,AVBUNK,Total,39
nam,DOMESAIR,Total,6
nam,ROAD,Total,663
nam,DOMESNAV,Total,26
ncl,MARBUNK,Total,1.4
ncl,AVBUNK,Total,1.48
ncl,DOMESAIR,Total,1.17
ncl,ROAD,Total,18.91
ncl,DOMESNAV,Total,1.15
ner,AVBUNK,Total,42
ner,DOMESAIR,Total,2
ner,ROAD,Total,402
nga,MARBUNK,Total,369
nga,AVBUNK,Total,361
nga,DOMESAIR,Total,125
nga,ROAD,Total,15010
nga,RAIL,Total,50
nga,DOMESNAV,Total,50
nic,AVBUNK,Total,23
nic,DOMESAIR,Total,3
nic,ROAD,Total,640
nic,DOMESNAV,Total,63
nld,MARBUNK,Total,11679
nld,AVBUNK,Total,3758
nld,DOMESAIR,Total,10
nld,ROAD,Total,9883
nld,RAIL,Total,162
nld,DOMESNAV,Total,335
nor,MARBUNK,Total,142
nor,AVBUNK,Total,599
nor,DOMESAIR,Total,424
nor,ROAD,Total,3341
nor,RAIL,Total,68
nor,DOMESNAV,Total,1086
npl,AVBUNK,Total,69
npl,ROAD,Total,769
npl,RAIL,Total,1
nzl,MARBUNK,Total,336
nzl,AVBUNK,Total,841
nzl,DOMESAIR,Total,284
nzl,ROAD,Total,4340
nzl,RAIL,Total,48
nzl,DOMESNAV,Total,137
omn,MARBUNK,Total,1239
omn,AVBUNK,Total,538
omn,ROAD,Total,4439
pak,MARBUNK,Total,50
pak,AVBUNK,Total,733
pak,DOMESAIR,Total,126
pak,ROAD,Total,14556
pak,RAIL,Total,279
pan,MARBUNK,Total,3590
pan,AVBUNK,Total,673
pan,DOMESAIR,Total,9
pan,ROAD,Total,1445
per,MARBUNK,Total,108
per,AVBUNK,Total,566
per,DOMESAIR,Total,306
per,ROAD,Total,7182
per,DOMESNAV,Total,34
phl,MARBUNK,Total,27
phl,AVBUNK,Total,1216
phl,DOMESAIR,Total,446
phl,ROAD,Total,9112
phl,RAIL,Total,10
phl,DOMESNAV,Total,1022
plw,MARBUNK,Total,0.09
plw,AVBUNK,Total,0.1
plw,DOMESAIR,Total,0.08
plw,ROAD,Total,1.23
plw,DOMESNAV,Total,0.07
png,MARBUNK,Total,41.96
png,AVBUNK,Total,44.19
png,DOMESAIR,Total,34.99
png,ROAD,Total,565.52
png,DOMESNAV,Total,34.4
pol,MARBUNK,Total,191
pol,AVBUNK,Total,649
pol,DOMESAIR,Total,19
pol,ROAD,Total,15841
pol,RAIL,Total,324
pol,DOMESNAV,Total,2
prk,ROAD,Total,467
prt,MARBUNK,Total,640
prt,AVBUNK,Total,1047
prt,DOMESAIR,Total,125
prt,ROAD,Total,5259
prt,RAIL,Total,36
prt,DOMESNAV,Total,98
pry,AVBUNK,Total,33
pry,DOMESAIR,Total,1
pry,ROAD,Total,1911
pry,RAIL,Total,0
pry,DOMESNAV,Total,0
qat,AVBUNK,Total,1288
qat,ROAD,Total,4222
reu,MARBUNK,Total,1.26
reu,AVBUNK,Total,2.82
reu,DOMESAIR,Total,0.37
reu,ROAD,Total,19.77
reu,RAIL,Total,0.21
reu,DOMESNAV,Total,0.02
rou,MARBUNK,Total,45
rou,AVBUNK,Total,210
rou,DOMESAIR,Total,29
rou,ROAD,Total,5083
rou,RAIL,Total,201
rou,DOMESNAV,Total,44
rus,MARBUNK,Total,13501
rus,AVBUNK,Total,5066
rus,DOMESAIR,Total,5076
rus,ROAD,Total,50955
rus,RAIL,Total,5863
rus,DOMESNAV,Total,577
rwa,MARBUNK,Total,16.57
